Source,Concentration,LOD,Type of Sample,Units,Type of Measure,Chemical,Role/Location,Sampling method
Su et al.,16.6,NA,Mobile-area,ppb,geomean,TVOC11,Dental assistant,6-l Silonite™-evacuated canisters
Su et al.,3809,NA,Mobile-area,ppb,geomean,TVOC14,Dental assistant,6-l Silonite™-evacuated canisters
Su et al.,1.54,NA,Mobile-area,ppb,geomean,Ethanol,Dental assistant,0.4-l Silonite™-evacuated canisters
Su et al.,23,NA,Personal,ppb,geomean,Acetone,Dental assistant,0.4-l Silonite™-evacuated canisters
Su et al.,1097,NA,Personal,ppb,geomean,2-Propanol,Dental assistant,0.4-l Silonite™-evacuated canisters
Su et al.,0.09,NA,Personal,ppb,geomean,Chloroform,Dental assistant,0.4-l Silonite™-evacuated canisters
Su et al.,0.04,NA,Personal,ppb,geomean,alpha-Pinene,Dental assistant,0.4-l Silonite™-evacuated canisters
Su et al.,0.16,NA,Personal,ppb,geomean,d-Limonene,Dental assistant,0.4-l Silonite™-evacuated canisters
Su et al.,10.7,NA,Personal,ppb,geomean,TVOC11,Dental assistant,0.4-l Silonite™-evacuated canisters
Su et al.,1565,NA,Personal,ppb,geomean,TVOC14,Dental assistant,0.4-l Silonite™-evacuated canisters
Su et al.,148,NA,Mobile-area,ppb,geomean,Ethanol,Dental laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,12.4,NA,Mobile-area,ppb,geomean,Acetone,Dental laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,558,NA,Mobile-area,ppb,geomean,2-Propanol,Dental laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,0.07,NA,Mobile-area,ppb,geomean,Chloroform,Dental laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,0.15,NA,Mobile-area,ppb,geomean,alpha-Pinene,Dental laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,1.71,NA,Mobile-area,ppb,geomean,d-Limonene,Dental laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,7.62,NA,Mobile-area,ppb,geomean,TVOC11,Dental laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,729,NA,Mobile-area,ppb,geomean,TVOC14,Dental laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,105,NA,Mobile-area,ppb,geomean,Ethanol,Dental laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,18.5,NA,Personal,ppb,geomean,Acetone,Dental laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,53.7,NA,Personal,ppb,geomean,2-Propanol,Dental laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.09,NA,Personal,ppb,geomean,Chloroform,Dental laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.04,NA,Personal,ppb,geomean,alpha-Pinene,Dental laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.19,NA,Personal,ppb,geomean,d-Limonene,Dental laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,3.92,NA,Personal,ppb,geomean,TVOC11,Dental laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,225,NA,Personal,ppb,geomean,TVOC14,Dental laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,36.2,NA,Mobile-area,ppb,geomean,Ethanol,Endoscopy technician,6-l Silonite™-evacuated canisters
Su et al.,12.7,NA,Mobile-area,ppb,geomean,Acetone,Endoscopy technician,6-l Silonite™-evacuated canisters
Su et al.,260,NA,Mobile-area,ppb,geomean,2-Propanol,Endoscopy technician,6-l Silonite™-evacuated canisters
Su et al.,0.12,NA,Mobile-area,ppb,geomean,Chloroform,Endoscopy technician,6-l Silonite™-evacuated canisters
Su et al.,0.15,NA,Mobile-area,ppb,geomean,alpha-Pinene,Endoscopy technician,6-l Silonite™-evacuated canisters
Su et al.,0.51,NA,Mobile-area,ppb,geomean,d-Limonene,Endoscopy technician,6-l Silonite™-evacuated canisters
Su et al.,3.24,NA,Mobile-area,ppb,geomean,TVOC11,Endoscopy technician,6-l Silonite™-evacuated canisters
Su et al.,783,NA,Mobile-area,ppb,geomean,TVOC14,Endoscopy technician,6-l Silonite™-evacuated canisters
Su et al.,113,NA,Mobile-area,ppb,geomean,Ethanol,Endoscopy technician,0.4-l Silonite™-evacuated canisters
Su et al.,34.6,NA,Personal,ppb,geomean,Acetone,Endoscopy technician,0.4-l Silonite™-evacuated canisters
Su et al.,241,NA,Personal,ppb,geomean,2-Propanol,Endoscopy technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.18,NA,Personal,ppb,geomean,Chloroform,Endoscopy technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.05,NA,Personal,ppb,geomean,alpha-Pinene,Endoscopy technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.12,NA,Personal,ppb,geomean,d-Limonene,Endoscopy technician,0.4-l Silonite™-evacuated canisters
Su et al.,8.66,NA,Personal,ppb,geomean,TVOC11,Endoscopy technician,0.4-l Silonite™-evacuated canisters
Su et al.,577,NA,Personal,ppb,geomean,TVOC14,Endoscopy technician,0.4-l Silonite™-evacuated canisters
Su et al.,319,NA,Mobile-area,ppb,geomean,Ethanol,Floor stripper/waxer,6-l Silonite™-evacuated canisters
Su et al.,27.7,NA,Mobile-area,ppb,geomean,Acetone,Floor stripper/waxer,6-l Silonite™-evacuated canisters
Su et al.,546,NA,Mobile-area,ppb,geomean,2-Propanol,Floor stripper/waxer,6-l Silonite™-evacuated canisters
Su et al.,0.17,NA,Mobile-area,ppb,geomean,Chloroform,Floor stripper/waxer,6-l Silonite™-evacuated canisters
Su et al.,0.19,NA,Mobile-area,ppb,geomean,alpha-Pinene,Floor stripper/waxer,6-l Silonite™-evacuated canisters
Su et al.,2.15,NA,Mobile-area,ppb,geomean,d-Limonene,Floor stripper/waxer,6-l Silonite™-evacuated canisters
Su et al.,13.5,NA,Mobile-area,ppb,geomean,TVOC11,Floor stripper/waxer,6-l Silonite™-evacuated canisters
Su et al.,991,NA,Mobile-area,ppb,geomean,TVOC14,Floor stripper/waxer,6-l Silonite™-evacuated canisters
Su et al.,636,NA,Mobile-area,ppb,geomean,Ethanol,Floor stripper/waxer,0.4-l Silonite™-evacuated canisters
Su et al.,41.6,NA,Personal,ppb,geomean,Acetone,Floor stripper/waxer,0.4-l Silonite™-evacuated canisters
Su et al.,707,NA,Personal,ppb,geomean,2-Propanol,Floor stripper/waxer,0.4-l Silonite™-evacuated canisters
Su et al.,0.17,NA,Personal,ppb,geomean,Chloroform,Floor stripper/waxer,0.4-l Silonite™-evacuated canisters
Su et al.,0.06,NA,Personal,ppb,geomean,alpha-Pinene,Floor stripper/waxer,0.4-l Silonite™-evacuated canisters
Su et al.,0.79,NA,Personal,ppb,geomean,d-Limonene,Floor stripper/waxer,0.4-l Silonite™-evacuated canisters
Su et al.,23,NA,Personal,ppb,geomean,TVOC11,Floor stripper/waxer,0.4-l Silonite™-evacuated canisters
Su et al.,1589,NA,Personal,ppb,geomean,TVOC14,Floor stripper/waxer,0.4-l Silonite™-evacuated canisters
Su et al.,700,NA,Mobile-area,ppb,geomean,Ethanol,Housekeeper,6-l Silonite™-evacuated canisters
Su et al.,19.8,NA,Mobile-area,ppb,geomean,Acetone,Housekeeper,6-l Silonite™-evacuated canisters
Su et al.,647,NA,Mobile-area,ppb,geomean,2-Propanol,Housekeeper,6-l Silonite™-evacuated canisters
Su et al.,0.19,NA,Mobile-area,ppb,geomean,Chloroform,Housekeeper,6-l Silonite™-evacuated canisters
Su et al.,0.14,NA,Mobile-area,ppb,geomean,alpha-Pinene,Housekeeper,6-l Silonite™-evacuated canisters
Su et al.,2.02,NA,Mobile-area,ppb,geomean,d-Limonene,Housekeeper,6-l Silonite™-evacuated canisters
Su et al.,6.06,NA,Mobile-area,ppb,geomean,TVOC11,Housekeeper,6-l Silonite™-evacuated canisters
Su et al.,1519,NA,Mobile-area,ppb,geomean,TVOC14,Housekeeper,6-l Silonite™-evacuated canisters
Su et al.,783,NA,Mobile-area,ppb,geomean,Ethanol,Housekeeper,0.4-l Silonite™-evacuated canisters
Su et al.,47.4,NA,Personal,ppb,geomean,Acetone,Housekeeper,0.4-l Silonite™-evacuated canisters
Su et al.,529,NA,Personal,ppb,geomean,2-Propanol,Housekeeper,0.4-l Silonite™-evacuated canisters
Su et al.,0.22,NA,Personal,ppb,geomean,Chloroform,Housekeeper,0.4-l Silonite™-evacuated canisters
Su et al.,0.06,NA,Personal,ppb,geomean,alpha-Pinene,Housekeeper,0.4-l Silonite™-evacuated canisters
Su et al.,1.09,NA,Personal,ppb,geomean,d-Limonene,Housekeeper,0.4-l Silonite™-evacuated canisters
Su et al.,16.1,NA,Personal,ppb,geomean,TVOC11,Housekeeper,0.4-l Silonite™-evacuated canisters
Su et al.,1605,NA,Personal,ppb,geomean,TVOC14,Housekeeper,0.4-l Silonite™-evacuated canisters
Su et al.,2241,NA,Mobile-area,ppb,geomean,Ethanol,Licensed practical nurse,6-l Silonite™-evacuated canisters
Su et al.,24.4,NA,Mobile-area,ppb,geomean,Acetone,Licensed practical nurse,6-l Silonite™-evacuated canisters
Su et al.,777,NA,Mobile-area,ppb,geomean,2-Propanol,Licensed practical nurse,6-l Silonite™-evacuated canisters
Su et al.,0.22,NA,Mobile-area,ppb,geomean,Chloroform,Licensed practical nurse,6-l Silonite™-evacuated canisters
Su et al.,0.15,NA,Mobile-area,ppb,geomean,alpha-Pinene,Licensed practical nurse,6-l Silonite™-evacuated canisters
Su et al.,2.66,NA,Mobile-area,ppb,geomean,d-Limonene,Licensed practical nurse,6-l Silonite™-evacuated canisters
Su et al.,6.36,NA,Mobile-area,ppb,geomean,TVOC11,Licensed practical nurse,6-l Silonite™-evacuated canisters
Su et al.,3171,NA,Mobile-area,ppb,geomean,TVOC14,Licensed practical nurse,6-l Silonite™-evacuated canisters
Su et al.,2199,NA,Mobile-area,ppb,geomean,Ethanol,Licensed practical nurse,0.4-l Silonite™-evacuated canisters
Su et al.,54.3,NA,Personal,ppb,geomean,Acetone,Licensed practical nurse,0.4-l Silonite™-evacuated canisters
Su et al.,695,NA,Personal,ppb,geomean,2-Propanol,Licensed practical nurse,0.4-l Silonite™-evacuated canisters
Su et al.,0.57,NA,Personal,ppb,geomean,Chloroform,Licensed practical nurse,0.4-l Silonite™-evacuated canisters
Su et al.,0.09,NA,Personal,ppb,geomean,alpha-Pinene,Licensed practical nurse,0.4-l Silonite™-evacuated canisters
Su et al.,1.08,NA,Personal,ppb,geomean,d-Limonene,Licensed practical nurse,0.4-l Silonite™-evacuated canisters
Su et al.,30.2,NA,Personal,ppb,geomean,TVOC11,Licensed practical nurse,0.4-l Silonite™-evacuated canisters
Su et al.,4319,NA,Personal,ppb,geomean,TVOC14,Licensed practical nurse,0.4-l Silonite™-evacuated canisters
Su et al.,179,NA,Mobile-area,ppb,geomean,Ethanol,Medical appliance technician,6-l Silonite™-evacuated canisters
Su et al.,30.2,NA,Mobile-area,ppb,geomean,Acetone,Medical appliance technician,6-l Silonite™-evacuated canisters
Su et al.,217,NA,Mobile-area,ppb,geomean,2-Propanol,Medical appliance technician,6-l Silonite™-evacuated canisters
Su et al.,0.08,NA,Mobile-area,ppb,geomean,Chloroform,Medical appliance technician,6-l Silonite™-evacuated canisters
Su et al.,0.14,NA,Mobile-area,ppb,geomean,alpha-Pinene,Medical appliance technician,6-l Silonite™-evacuated canisters
Su et al.,12.2,NA,Mobile-area,ppb,geomean,d-Limonene,Medical appliance technician,6-l Silonite™-evacuated canisters
Su et al.,16,NA,Mobile-area,ppb,geomean,TVOC11,Medical appliance technician,6-l Silonite™-evacuated canisters
Su et al.,448,NA,Mobile-area,ppb,geomean,TVOC14,Medical appliance technician,6-l Silonite™-evacuated canisters
Su et al.,144,NA,Mobile-area,ppb,geomean,Ethanol,Medical appliance technician,0.4-l Silonite™-evacuated canisters
Su et al.,33.1,NA,Personal,ppb,geomean,Acetone,Medical appliance technician,0.4-l Silonite™-evacuated canisters
Su et al.,177,NA,Personal,ppb,geomean,2-Propanol,Medical appliance technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.18,NA,Personal,ppb,geomean,Chloroform,Medical appliance technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.04,NA,Personal,ppb,geomean,alpha-Pinene,Medical appliance technician,0.4-l Silonite™-evacuated canisters
Su et al.,4.23,NA,Personal,ppb,geomean,d-Limonene,Medical appliance technician,0.4-l Silonite™-evacuated canisters
Su et al.,53.7,NA,Personal,ppb,geomean,TVOC11,Medical appliance technician,0.4-l Silonite™-evacuated canisters
Su et al.,411,NA,Personal,ppb,geomean,TVOC14,Medical appliance technician,0.4-l Silonite™-evacuated canisters
Su et al.,9.25,NA,Mobile-area,ppb,geomean,Ethanol,Medical equipment preparer,6-l Silonite™-evacuated canisters
Su et al.,10,NA,Mobile-area,ppb,geomean,Acetone,Medical equipment preparer,6-l Silonite™-evacuated canisters
Su et al.,662,NA,Mobile-area,ppb,geomean,2-Propanol,Medical equipment preparer,6-l Silonite™-evacuated canisters
Su et al.,0.09,NA,Mobile-area,ppb,geomean,Chloroform,Medical equipment preparer,6-l Silonite™-evacuated canisters
Su et al.,0.15,NA,Mobile-area,ppb,geomean,alpha-Pinene,Medical equipment preparer,6-l Silonite™-evacuated canisters
Su et al.,1.08,NA,Mobile-area,ppb,geomean,d-Limonene,Medical equipment preparer,6-l Silonite™-evacuated canisters
Su et al.,4,NA,Mobile-area,ppb,geomean,TVOC11,Medical equipment preparer,6-l Silonite™-evacuated canisters
Su et al.,995,NA,Mobile-area,ppb,geomean,TVOC14,Medical equipment preparer,6-l Silonite™-evacuated canisters
Su et al.,6.7,NA,Mobile-area,ppb,geomean,Ethanol,Medical equipment preparer,0.4-l Silonite™-evacuated canisters
Su et al.,42.1,NA,Personal,ppb,geomean,Acetone,Medical equipment preparer,0.4-l Silonite™-evacuated canisters
Su et al.,1310,NA,Personal,ppb,geomean,2-Propanol,Medical equipment preparer,0.4-l Silonite™-evacuated canisters
Su et al.,0.21,NA,Personal,ppb,geomean,Chloroform,Medical equipment preparer,0.4-l Silonite™-evacuated canisters
Su et al.,0.07,NA,Personal,ppb,geomean,alpha-Pinene,Medical equipment preparer,0.4-l Silonite™-evacuated canisters
Su et al.,2.41,NA,Personal,ppb,geomean,d-Limonene,Medical equipment preparer,0.4-l Silonite™-evacuated canisters
Su et al.,31.4,NA,Personal,ppb,geomean,TVOC11,Medical equipment preparer,0.4-l Silonite™-evacuated canisters
Su et al.,2142,NA,Personal,ppb,geomean,TVOC14,Medical equipment preparer,0.4-l Silonite™-evacuated canisters
Su et al.,68.7,NA,Mobile-area,ppb,geomean,Ethanol,Pharmacist/pharmacy technician,6-l Silonite™-evacuated canisters
Su et al.,24.4,NA,Mobile-area,ppb,geomean,Acetone,Pharmacist/pharmacy technician,6-l Silonite™-evacuated canisters
Su et al.,135,NA,Mobile-area,ppb,geomean,2-Propanol,Pharmacist/pharmacy technician,6-l Silonite™-evacuated canisters
Su et al.,0.16,NA,Mobile-area,ppb,geomean,Chloroform,Pharmacist/pharmacy technician,6-l Silonite™-evacuated canisters
Su et al.,0.17,NA,Mobile-area,ppb,geomean,alpha-Pinene,Pharmacist/pharmacy technician,6-l Silonite™-evacuated canisters
Su et al.,2.05,NA,Mobile-area,ppb,geomean,d-Limonene,Pharmacist/pharmacy technician,6-l Silonite™-evacuated canisters
Su et al.,18.5,NA,Mobile-area,ppb,geomean,TVOC11,Pharmacist/pharmacy technician,6-l Silonite™-evacuated canisters
Su et al.,1885,NA,Mobile-area,ppb,geomean,TVOC14,Pharmacist/pharmacy technician,6-l Silonite™-evacuated canisters
Su et al.,97.7,NA,Mobile-area,ppb,geomean,Ethanol,Pharmacist/pharmacy technician,0.4-l Silonite™-evacuated canisters
Su et al.,31.3,NA,Personal,ppb,geomean,Acetone,Pharmacist/pharmacy technician,0.4-l Silonite™-evacuated canisters
Su et al.,194,NA,Personal,ppb,geomean,2-Propanol,Pharmacist/pharmacy technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.1,NA,Personal,ppb,geomean,Chloroform,Pharmacist/pharmacy technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.04,NA,Personal,ppb,geomean,alpha-Pinene,Pharmacist/pharmacy technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.38,NA,Personal,ppb,geomean,d-Limonene,Pharmacist/pharmacy technician,0.4-l Silonite™-evacuated canisters
Su et al.,9.73,NA,Personal,ppb,geomean,TVOC11,Pharmacist/pharmacy technician,0.4-l Silonite™-evacuated canisters
Su et al.,1955,NA,Personal,ppb,geomean,TVOC14,Pharmacist/pharmacy technician,0.4-l Silonite™-evacuated canisters
Su et al.,396,NA,Mobile-area,ppb,geomean,Ethanol,Registered nurse,6-l Silonite™-evacuated canisters
Su et al.,18.7,NA,Mobile-area,ppb,geomean,Acetone,Registered nurse,6-l Silonite™-evacuated canisters
Su et al.,201,NA,Mobile-area,ppb,geomean,2-Propanol,Registered nurse,6-l Silonite™-evacuated canisters
Su et al.,0.16,NA,Mobile-area,ppb,geomean,Chloroform,Registered nurse,6-l Silonite™-evacuated canisters
Su et al.,0.15,NA,Mobile-area,ppb,geomean,alpha-Pinene,Registered nurse,6-l Silonite™-evacuated canisters
Su et al.,1,NA,Mobile-area,ppb,geomean,d-Limonene,Registered nurse,6-l Silonite™-evacuated canisters
Su et al.,4.82,NA,Mobile-area,ppb,geomean,TVOC11,Registered nurse,6-l Silonite™-evacuated canisters
Su et al.,1323,NA,Mobile-area,ppb,geomean,TVOC14,Registered nurse,6-l Silonite™-evacuated canisters
Su et al.,1063,NA,Mobile-area,ppb,geomean,Ethanol,Registered nurse,0.4-l Silonite™-evacuated canisters
Su et al.,30.9,NA,Personal,ppb,geomean,Acetone,Registered nurse,0.4-l Silonite™-evacuated canisters
Su et al.,288,NA,Personal,ppb,geomean,2-Propanol,Registered nurse,0.4-l Silonite™-evacuated canisters
Su et al.,0.18,NA,Personal,ppb,geomean,Chloroform,Registered nurse,0.4-l Silonite™-evacuated canisters
Su et al.,0.04,NA,Personal,ppb,geomean,alpha-Pinene,Registered nurse,0.4-l Silonite™-evacuated canisters
Su et al.,0.28,NA,Personal,ppb,geomean,d-Limonene,Registered nurse,0.4-l Silonite™-evacuated canisters
Su et al.,6.3,NA,Personal,ppb,geomean,TVOC11,Registered nurse,0.4-l Silonite™-evacuated canisters
Su et al.,1950,NA,Personal,ppb,geomean,TVOC14,Registered nurse,0.4-l Silonite™-evacuated canisters
Su et al.,403,NA,Mobile-area,ppb,geomean,Ethanol,Respiratory therapist,6-l Silonite™-evacuated canisters
Su et al.,12.5,NA,Mobile-area,ppb,geomean,Acetone,Respiratory therapist,6-l Silonite™-evacuated canisters
Su et al.,49.1,NA,Mobile-area,ppb,geomean,2-Propanol,Respiratory therapist,6-l Silonite™-evacuated canisters
Su et al.,0.08,NA,Mobile-area,ppb,geomean,Chloroform,Respiratory therapist,6-l Silonite™-evacuated canisters
Su et al.,0.19,NA,Mobile-area,ppb,geomean,alpha-Pinene,Respiratory therapist,6-l Silonite™-evacuated canisters
Su et al.,0.76,NA,Mobile-area,ppb,geomean,d-Limonene,Respiratory therapist,6-l Silonite™-evacuated canisters
Su et al.,6.57,NA,Mobile-area,ppb,geomean,TVOC11,Respiratory therapist,6-l Silonite™-evacuated canisters
Su et al.,646,NA,Mobile-area,ppb,geomean,TVOC14,Respiratory therapist,6-l Silonite™-evacuated canisters
Su et al.,522,NA,Mobile-area,ppb,geomean,Ethanol,Respiratory therapist,0.4-l Silonite™-evacuated canisters
Su et al.,41.7,NA,Personal,ppb,geomean,Acetone,Respiratory therapist,0.4-l Silonite™-evacuated canisters
Su et al.,20.1,NA,Personal,ppb,geomean,2-Propanol,Respiratory therapist,0.4-l Silonite™-evacuated canisters
Su et al.,0.13,NA,Personal,ppb,geomean,Chloroform,Respiratory therapist,0.4-l Silonite™-evacuated canisters
Su et al.,0.05,NA,Personal,ppb,geomean,alpha-Pinene,Respiratory therapist,0.4-l Silonite™-evacuated canisters
Su et al.,0.16,NA,Personal,ppb,geomean,d-Limonene,Respiratory therapist,0.4-l Silonite™-evacuated canisters
Su et al.,15.7,NA,Personal,ppb,geomean,TVOC11,Respiratory therapist,0.4-l Silonite™-evacuated canisters
Su et al.,2120,NA,Personal,ppb,geomean,TVOC14,Respiratory therapist,0.4-l Silonite™-evacuated canisters
Su et al.,237,NA,Mobile-area,ppb,geomean,Ethanol,Surgical technologist,6-l Silonite™-evacuated canisters
Su et al.,14.7,NA,Mobile-area,ppb,geomean,Acetone,Surgical technologist,6-l Silonite™-evacuated canisters
Su et al.,459,NA,Mobile-area,ppb,geomean,2-Propanol,Surgical technologist,6-l Silonite™-evacuated canisters
Su et al.,0.08,NA,Mobile-area,ppb,geomean,Chloroform,Surgical technologist,6-l Silonite™-evacuated canisters
Su et al.,0.15,NA,Mobile-area,ppb,geomean,alpha-Pinene,Surgical technologist,6-l Silonite™-evacuated canisters
Su et al.,0.37,NA,Mobile-area,ppb,geomean,d-Limonene,Surgical technologist,6-l Silonite™-evacuated canisters
Su et al.,2.29,NA,Mobile-area,ppb,geomean,TVOC11,Surgical technologist,6-l Silonite™-evacuated canisters
Su et al.,767,NA,Mobile-area,ppb,geomean,TVOC14,Surgical technologist,6-l Silonite™-evacuated canisters
Su et al.,547,NA,Mobile-area,ppb,geomean,Ethanol,Surgical technologist,0.4-l Silonite™-evacuated canisters
Su et al.,30.2,NA,Personal,ppb,geomean,Acetone,Surgical technologist,0.4-l Silonite™-evacuated canisters
Su et al.,438,NA,Personal,ppb,geomean,2-Propanol,Surgical technologist,0.4-l Silonite™-evacuated canisters
Su et al.,0.11,NA,Personal,ppb,geomean,Chloroform,Surgical technologist,0.4-l Silonite™-evacuated canisters
Su et al.,0.04,NA,Personal,ppb,geomean,alpha-Pinene,Surgical technologist,0.4-l Silonite™-evacuated canisters
Su et al.,0.5,NA,Personal,ppb,geomean,d-Limonene,Surgical technologist,0.4-l Silonite™-evacuated canisters
Su et al.,32.3,NA,Personal,ppb,geomean,TVOC11,Surgical technologist,0.4-l Silonite™-evacuated canisters
Su et al.,1087,NA,Personal,ppb,geomean,TVOC14,Surgical technologist,0.4-l Silonite™-evacuated canisters
Vincent et al.,Below LOD,10.18,Area,ug/m^3,point value,didecyl-dimethylammonium chloride (DDAC),Hospital working station,XAD-2 resin
Vincent et al.,Below LOD,2.5,Area,ug/m^3,point value,didecyl-dimethylammonium chloride (DDAC),Hospital working station,XAD-2 resin
Vincent et al.,Below LOD,9.92,Area,ug/m^3,point value,didecyl-dimethylammonium chloride (DDAC),Hospital working station,XAD-2 resin
Vincent et al.,Below LOD,2.57,Area,ug/m^3,point value,didecyl-dimethylammonium chloride (DDAC),Hospital working station,XAD-2 resin
Vincent et al.,Below LOD,11.19,Area,ug/m^3,point value,didecyl-dimethylammonium chloride (DDAC),Hospital working station,XAD-2 resin
Vincent et al.,Below LOD,2.8,Area,ug/m^3,point value,didecyl-dimethylammonium chloride (DDAC),Hospital working station,XAD-2 resin
Vincent et al.,Below LOD,2.15,Area,ug/m^3,point value,didecyl-dimethylammonium chloride (DDAC),Hospital working station,XAD-2 resin
