1st Author,Title,Frequency Measure,Categories,Type of Outcome,Type of outcome 2,Outcomev2,Outcome,Outcome 2,Value of Outcome,95% CI Lower,95% CI Upper
Mirabelli,Occupational risk factors for asthma among nurses and related healthcare professionals in an international study,Disinfection,Yes,RR,RR,New-onset asthma,New-onset asthma,Asthma,1.29,0.7,1.36
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of disinfectant,None,Adjusted HR,HR,Asthma,Asthma,Asthma,1,1,1
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of disinfectant,Any disinfectant,Adjusted HR,HR,Asthma,Asthma,Asthma,1.11,0.91,1.37
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of disinfectant,Surface only,Adjusted HR,HR,Asthma,Asthma,Asthma,1.11,0.87,1.42
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of disinfectant,Insruments,Adjusted HR,HR,Asthma,Asthma,Asthma,1.11,0.85,1.46
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of sprays,No,Adjusted HR,HR,Asthma,Asthma,Asthma,1,1,1
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of sprays,Yes,Adjusted HR,HR,Asthma,Asthma,Asthma,1.11,0.76,1.6
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of disinfectant,None,Multivar-adjusted HR,HR,Asthma,Asthma,Asthma,1,1,1
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of disinfectant,Any disinfectant,Multivar-adjusted HR,HR,Asthma,Asthma,Asthma,1.12,0.91,1.38
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of disinfectant,Surface only,Multivar-adjusted HR,HR,Asthma,Asthma,Asthma,1.12,0.87,1.43
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of disinfectant,Insruments,Multivar-adjusted HR,HR,Asthma,Asthma,Asthma,1.13,0.86,1.48
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of sprays,No,Multivar-adjusted HR,HR,Asthma,Asthma,Asthma,1,1,1
Dumas,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Weekly use of sprays,Yes,Multivar-adjusted HR,HR,Asthma,Asthma,Asthma,1.1,0.76,1.59
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,No,Adjusted OR,OR,Asthma attack,Asthma attack,Asthma,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,Yes,Adjusted OR,OR,Asthma attack,Asthma attack,Asthma,2,0.8,5.4
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,No,Adjusted OR,OR,Wheeze,Wheeze,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,Yes,Adjusted OR,OR,Wheeze,Wheeze,Respiratory symptoms,2.5,1.2,5.2
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,No,Adjusted OR,OR,Reported asthma,Reported asthma,Asthma,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,Yes,Adjusted OR,OR,Reported asthma,Reported asthma,Asthma,2.7,0.7,10.2
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,No,Adjusted OR,OR,Chest tightness,Chest tightness,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,Yes,Adjusted OR,OR,Chest tightness,Chest tightness,Respiratory symptoms,2.1,0.9,4.9
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,No,Adjusted OR,OR,Woken by cough,Woken by cough,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,Yes,Adjusted OR,OR,Woken by cough,Woken by cough,Respiratory symptoms,1.9,1,3.5
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,No,Adjusted OR,OR,Woken by dyspnea,Woken by dyspnea,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,Yes,Adjusted OR,OR,Woken by dyspnea,Woken by dyspnea,Respiratory symptoms,2.9,0.8,10.4
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,No,Adjusted OR,OR,Usual phlegm,Usual phlegm,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,Yes,Adjusted OR,OR,Usual phlegm,Usual phlegm,Respiratory symptoms,1.8,0.6,5.6
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,No,Adjusted OR,OR,Usual cough,Usual cough,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Working more than 35 hours per week,Yes,Adjusted OR,OR,Usual cough,Usual cough,Respiratory symptoms,2.4,0.8,7.5
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,No,Adjusted OR,OR,Asthma attack,Asthma attack,Asthma,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,Yes,Adjusted OR,OR,Asthma attack,Asthma attack,Asthma,1.3,0.6,2.9
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,No,Adjusted OR,OR,Wheeze,Wheeze,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,Yes,Adjusted OR,OR,Wheeze,Wheeze,Respiratory symptoms,2.1,1.1,3.8
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,No,Adjusted OR,OR,Asthma,Reported asthma,Asthma,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,Yes,Adjusted OR,OR,Asthma,Reported asthma,Asthma,3.2,1.1,9.3
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,No,Adjusted OR,OR,Chest tightness,Chest tightness,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,Yes,Adjusted OR,OR,Chest tightness,Chest tightness,Respiratory symptoms,1.4,0.7,2.8
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,No,Adjusted OR,OR,Woken by cough,Woken by cough,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,Yes,Adjusted OR,OR,Woken by cough,Woken by cough,Respiratory symptoms,2.3,1.3,3.9
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,No,Adjusted OR,OR,Woken by dyspnea,Woken by dyspnea,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,Yes,Adjusted OR,OR,Woken by dyspnea,Woken by dyspnea,Respiratory symptoms,1.3,0.6,3.1
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,No,Adjusted OR,OR,Usual phlegm,Usual phlegm,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,Yes,Adjusted OR,OR,Usual phlegm,Usual phlegm,Respiratory symptoms,1,0.4,2.4
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,No,Adjusted OR,OR,Usual cough,Usual cough,Respiratory symptoms,1,1,1
Dimich-Ward,Respiratory health survey of respiratory therapists,Sterilized with Glutaraldehyde,Yes,Adjusted OR,OR,Usual cough,Usual cough,Respiratory symptoms,1.5,0.6,3.5
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Spray use at work,No,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Spray use at work,Yes,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1.21,0.69,2.13
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General disinfection task,No,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General disinfection task,Yes,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,4.25,1.79,10.1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of disinfectants,No,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of disinfectants,Yes,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,4.58,1.87,11.21
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General cleaning tasks,No,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General cleaning tasks,Yes,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,2.85,1.37,5.95
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of cleaning products,No,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of cleaning products,Yes,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1.05,0.59,1.85
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Soaking solution preparation,No,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Soaking solution preparation,Yes,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,2,1.11,3.61
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Disinfection task frequency,Never or sometimes by month,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Disinfection task frequency,Sometimes by week or ever day,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,2.67,1.37,5.17
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Healthcare sector seniority,0 to 9,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Healthcare sector seniority,10 to 19,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1.34,0.68,2.62
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Healthcare sector seniority,20+,Crude OR,OR,Asthma,Physician-diagnosed asthma,Asthma,0.87,0.45,1.68
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Spray use at work,No,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Spray use at work,Yes,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1.3,0.56,3.04
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General disinfection task,No,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General disinfection task,Yes,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,4.68,1.08,20.22
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of disinfectants,No,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of disinfectants,Yes,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,4.56,1,20.29
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General cleaning tasks,No,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General cleaning tasks,Yes,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,3.25,0.95,11.1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of cleaning products,No,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of cleaning products,Yes,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1.35,0.56,3.25
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Soaking solution preparation,No,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Soaking solution preparation,Yes,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1.27,0.53,3.04
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Disinfection task frequency,Never or sometimes by month,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Disinfection task frequency,Sometimes by week or ever day,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,3.13,1.05,9.35
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Healthcare sector seniority,0 to 9,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Healthcare sector seniority,10 to 19,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,0.07,0.01,0.52
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Healthcare sector seniority,20+,Crude OR,OR,New-onset asthma,New-onset asthma,Asthma,0.88,0.35,2.16
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Spray use at work,No,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Spray use at work,Yes,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1.54,1.08,2.21
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General disinfection task,No,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General disinfection task,Yes,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1.69,1.16,2.45
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of disinfectants,No,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of disinfectants,Yes,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1.82,1.21,2.74
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General cleaning tasks,No,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General cleaning tasks,Yes,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1.56,1.08,2.26
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of cleaning products,No,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of cleaning products,Yes,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1.33,0.93,1.9
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Soaking solution preparation,No,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Soaking solution preparation,Yes,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1.45,1.02,2.06
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Disinfection task frequency,Never or sometimes by month,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Disinfection task frequency,Sometimes by week or ever day,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1.6,1.12,2.28
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Healthcare sector seniority,0 to 9,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Healthcare sector seniority,10 to 19,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,0.84,0.54,1.31
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Healthcare sector seniority,20+,Crude OR,OR,Nasal symptoms at work,Nasal symptoms at work,Respiratory symptoms,0.78,0.52,1.16
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Spray use at work,No,Adjusted OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Spray use at work,Yes,Adjusted OR,OR,Asthma,Physician-diagnosed asthma,Asthma,0.84,0.42,1.69
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General disinfection task,No,Adjusted OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General disinfection task,Yes,Adjusted OR,OR,Asthma,Physician-diagnosed asthma,Asthma,3.16,1.17,8.52
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of disinfectants,No,Adjusted OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,Dilution of disinfectants,Yes,Adjusted OR,OR,Asthma,Physician-diagnosed asthma,Asthma,4.01,1.34,12
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General cleaning tasks,No,Adjusted OR,OR,Asthma,Physician-diagnosed asthma,Asthma,1,1,1
Gonzalez,Asthma among workers in healthcare settings: role o disinfection with quaternary ammonium compounds,General cleaning tasks,Yes,Adjusted OR,OR,Asthma,Physician-diagnosed asthma,Asthma,2.26,0.95,5.35
