Timestamp,Who is extracting data?,Title of Article,1st Author Last Name,Year of Publication,Journal,"Country of Healthcare Worker Data (If not provided, type NA)",What types of healthcare worker roles were included?,What was the type of healthcare facility?,Does it address cleaning and disinfection activities posing asthma risks to workers?,Does it address measurements (frequency and/or concentration) of cleaning/disinfection exposures during cleaning and disinfection in healthcare environments? (or animal studies),Does it capture asthma rates among healthcare workers with cleaning and disinfection activities as a potential risk factor?,Does the article address concentration of an exposure to cleaning and disinfection?,Describe the methods used.,What were the findings?,Does the article address frequency of cleaning and disinfection activity?,Describe the relationship (capture big picture and mention if quantitative data are available),"Were there differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rates as a a function of concentration of the exposure?,Describe the relationship.,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rate as a function of frequency of cleaning and disinfection activity?,Describe the relationship,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include types of chemical products?,"If so, please list the products or chemical types that are mentioned.",Were differences in exposure or asthma across different chemical types mentioned/described?,"Does the article include the phrase, ""dose-response""?",Notes on dose-response related concepts,Does the article address the number of years working in healthcare industry before asthma symptom onset?,What summary statistics on latency are provided? Please provide the summary statistics.,Does the article address the number of years working in the healthcare industry and asthma rates outcome among participants?,What was the relationship between # of years working in healthcare and asthma rates?,"Does the article include the term, ""latency""?",Notes on latency related concepts,Does the article include details regarding asthma outcome diagnosis?,How was asthma diagnosed or measured?,Does the article include details regarding the use of a diagnostic measurement?,What diagnostic measurement was used?,Does the article include details regarding the use of a questionnaire tool to measure asthma?,What questionnaire tool(s) was (were) used? Were the tools validated?,Does the article include details regarding self-reporting of physician diagnosed asthma?,How was the self reporting conducted?,Does the article include asthma rates or rate of another asthma outcome among healthcare workers?,What were the findings?,"Were differences across healthcare worker role or task described? If so, describe.",Notes on asthma diagnosis and/or reported rates.
2022/03/16 12:42:17 AM MDT,Tina,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Caridi,2018,International Journal of Hygiene & Environmental Health,USA,"Dental assistants, Nursing assistants, Environmental service workers, Licensed Practical nurses, Registered nurses, Laboratory technicians, Operating room technicians, Respiratory therapists, Central supply workers",Hospital,No,Yes,Yes,No,,,Yes,"82% of Environmental Service Workers cleaned fixed surfaces, but at least 70% of the participants in six other occupations also performed this task. Also, using chemicals, adhesives, or solvents on patients was the second most common task with approximately one-third of the sample, and was conducted by a majority of RNs (72%), LPNs (65%), and OR techs (56%)",Table 2,No,NA,NA,Yes,Sterilizing medical equipment had the top frequency of 32% for bronchial hyper-responsivenes (BHR) related symptoms,"Yes, table 4",No,NA,No,No,NA,No,,No,,No,NA,Yes, Physician-diagnosed asthma ,Yes,"First measured as ""Post-hire asthma or reported asthma"" defined as diagnosed asthma with onset after starting health care profession. Secondly, measured as ""current asthma"" (details in Point 2.4)",Yes,"The  questionnaires  were  developed and modified from pre-existing questionnaires, which had already been used  in  multinational  studies. It was validated by survey instrument experts and two researchers who had conducted studies of healthcare workers.",Yes,"The study relied on self-reports of health outcomes and tasks, and differential reporting of tasks. Self-reported history of nasal or sinus allergies was also included.",Yes,"5.1% of participants fulfilled the criteria for post-hire asthma and 8.5% for current asthma, 26% had BHR-related symptoms, and 26% had a nonzero asthma score (table 4)",NA,NA
2022/03/17 12:40:07 PM MDT,Amanda,Characterization of occupational exposures to cleaning products used for common cleaning tasks-a pilot study of hospital cleaners,Bello,2009,Environmental Health,United States,cleaning workers,hospitals,Yes,Yes,No,No,,,Yes,"Equations were used to estimate dermal exposures. A qualitative assessment of inhalation exposures was conducted where exposures were categorized as ""low,"" ""medium,"" or ""high."" Mirror cleaning resulted in highest dermal estimate (fig 2). Sink cleaning posed greatest potential for skin exposure, followed by mirror cleaning and by toilet bowl cleaning (fig 3). High risk: sink, mirror, and toilet bowl cleaning; moderate: floor cleaning with two different methods",NA,No,,,No,,,Yes,"ammonia, isopropyl alcohol, 2-butoxyethanol, mono-ethanolamine, quaternary ammonium compounds, mono-ethanolamine, fragrances (e.g. terpenes)",No,No,,No,,No,,No,,No,,No,,No,,No,,No,,,
2022/03/17 1:41:39 PM MDT,Amanda,Sampling and Analysis of Quaternary Ammonium Compounds (QACs) Traces in Indoor Atmosphere,Vincent,2007,Environmental Monitoring and Assessment,France,NA,Hospital,Yes,Yes,No,Yes,"""DDAC aerosols are trapped by adsorption on XAD-2 resin SKC® tube. The air in hospital buildings was sampled using a constant debit Gillian® pump at a flow of 1.0 l/min (±5%). Ion Chromatography (IC) was chosen for the analysis of DDAC especially for its high sensitivity and specificity.""",Table III,No,,,No,,,No,,,Yes,Quaternary ammonium compounds,No,No,,No,,No,,No,,No,,No,,No,,No,,No,,,
2022/03/17 1:54:58 PM MDT,Amanda,Asthma among Health Care Professionals,Rask-Andersen,2007,Am. J. Respir. Crit. Care Med.,NA,NA,NA,Yes,No,No,No,,,No,,,No,,,No,,,Yes,"glutaraldehyde, enzyme-containing products, ortho-phthalaldehyde",No,No,,Yes,Doesn't provide information but mentions a paper that does (this is an editorial),No,,No,,Yes,Mentions paper but doesn't provide details (describes physician-diagnosed asthma - assuming self reported in study they reference),No,,Yes,Describes questionnaire and job-exposure matrix used by Delclos et al,Yes,Original paper likely describes this,No,,,
2022/03/17 2:32:38 PM MDT,Amanda,The Effect of Work Practices on Personal Exposure to Glutaraldehyde among Health Care Workers,Nayebzadeh,2007,Industrial Health,Canada,"healthcare workers in endoscopy, cyctoscopy and bronchoscopy, a pulmonary function laboratory, an ophthalmology clinic, colon and rectal clinics, ultrasound and medical imaging, operating theaters, and central supply rooms",hospitals,Yes,Yes,No,Yes,"Air samples taken in the breathing zone, SKC personal sampling pumps, known volume of air sampled through an open-face air-monitoring cassette containing two glass fiber filters each of which is coated with 2,4-dinitrophenylhydrazine and phosphoric acid. Samples taken 5 to 15 min with sampling rate of 1 to 2.5 L/min, minimum 15L sample - analytical lab to analyze samples","""Geometric mean concentration increased from 0.012 ppm for appropriate work practices to 0.05 ppm and 0.08 ppm for poor and unsafe work practices, respectively."" More results in Figure 1",No,,,Yes,"Table 3 - doesn't mention asthma specifically but describes # of cases with certain symptoms and associated appropriate, poor, and unsafe cleaning conditions","Although sampled in variety of environments, doesn't describe differences across environment or role",No,,,Yes,glutaraldehyde,Yes,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Use of interviews to ask about symptoms in 12 months prior to sampling day
2022/03/17 3:20:39 PM MDT,Amanda,Asthma caused by peracetic acid-hydrogen peroxide mixture,Cristofari-Marquand,2007,Journal of Occupational Health,France,"anesthetist nurse, auxiliary nurse",endoscopy unit of gastroenterology department; otorhinolaryngology department,Yes,Yes,Yes,No,,,Yes,"Case 1: added disinfectant every 2 days, symptoms 8h after exposure to PA-HP vapors; symptoms improved during 3 week holiday; symptoms returned when he returned to work; Case 2: daily exposure to quats and PA-HP - 5 days a week for 8 hour days; After 2.5 years, daily exposure, developed symptoms, 1-4 hr after end of exposure",Differences between the cases but they had different tasks,No,,,No,,,Yes,peracetic acid-hydrogen peroxide mixture,No,No,,Yes,"Mentions number of hours between exposure and symptom onset for work-exacerbation. In case 2, says symptoms started after 2.5 years of employment",Yes,2.5 years before symptoms started in case 2,Yes,,Yes,"specific inhalation challenge, FEV1 measures, peak expiratory flow rates",Yes,"FEV1, PEF",No,,No,,No,,,
2022/03/21 3:22:50 PM MDT,Tina,"Healthcare Workers at Risk of Asthma, Respiratory Woes.",Evans,2018,Hospital Employee Health,USA,"Respiratory therapists, nurse",hospital,Yes,No,Yes,No,,,No,,,No,NA,NA,No,NA,NA,Yes,"glutaraldehyde and peracetic acids, chlorine, ammonia, and quaternary ammonium compounds

",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,Yes,"From the CDC reviewed 2011-2016 data from the National Health Interview Survey (NHIS); by major occupation group, asthma prevalence was highest among workers in healthcare support (8.8%), followed by personal care and service (8.6%) occupations.",No,NA
2022/03/22 2:11:34 AM MDT,Amanda,Health problems and disinfectant product exposure among staff at a large multispecialty hospital.,Casey,2017,American Journal of Infection Control,USA, Environmental service staff (EVS) and non-EVS staff,Hospital,Yes,Yes,Yes,Yes,"Concentrations of hydrogen peroxide, peracetic acid, and acetic acid from personal air samples were used in ACGIH additive mixture formula to categorize departments by their total mixture of hydrogen peroxide, peracetic acid, and acetic acid.","9 departments were categorized into tertiles of low (≤0.075), medium (>0.075 to ≤0.190), and high (>0.190) exposure categories",Yes,"Higher air measurements in labor and delivery were observed with increased frequency and duration of cleaning tasks. The labor and delivery department had short patient stays, requiring consecutive terminal cleaning of rooms to accept new admissions.",No,No,NA,NA,No,NA,NA,Yes," hydrogen peroxide, peracetic acid, and acetic acid.",No,No,NA,No,,Yes,"The prehire adult-onset asthma incidence density was 4.8 cases per 1,000 person years. The posthire adult-onset asthma incidence density was 5.5 cases per 1,000 person years; these incidence densities were not significantly differen",No,NA,Yes,"Diagnosed by a physician before and after hire at the hospital were estimated using birth date, hire date, and diagnosis date. ",Yes,Current asthma was defined as physician-diagnosed asthma that was still present,Yes,interviewer-administered questionnaire. Some of these questions were taken from the Third National Health and Nutrition Examination Survey,Yes,"Questions addressed self-reported respiratory and dermatologic symptoms, asthma and other diagnoses, smoking history, work history and practices. ",Yes,"Current asthma was reported by 14% (n = 23/ 163) of participants and was 2.3 times higher (SMR, 2.3; 95% CI, 1.5–3.6) than expected for the U.S. adult population",NA,NA
2022/03/23 8:12:55 PM MDT,Tina,Occupational health risks associated with the use of germicides in health care,Weber,2016,American Journal of Infection Control,USA,"Physician, Family Nurse Practitioner, Nurses",hospital,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"germicide, and antiseptic, glutaraldehyde, formaldehyde, peracetic acid, ortho-phthalaldehyde",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,Details were mostly on dermatitis
2022/03/23 11:00:56 PM MDT,Tina,Can you kill microbes without hurting healthcare workers?,,2015,Hospital Employee Health,USA,environmental services workers,Hospital,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,"quaternary ammonium compounds, bleach, ammonia",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,NA
2022/03/24 12:12:08 AM MDT,Tina,"Asthma history, job type and job changes among US nurses",Dumas,2015,Occupational & Environmental Medicine,USA,Nurses,Hospital,Yes,Yes,No,No,,,Yes," OR nurses reported the highest level of disinfectant use, with weekly use of disinfectants to clean surfaces (70%) or to clean instruments (36%), compared to nurses in ER or inpatient unit (52% and 30%, respectively), and to nurses in education / administration (13% and 4%).","Figure 2 (non nursing job, 7%; education or administration nursing, 18%; outpatient or other nurses, 48%; ER or inpatient unit nursing, 23%; and operating room nursing, 5%.)",No,NA,No,No,NA,No,Yes," ethylene oxide, hydrogen peroxide, ortho-phtalaldehyde, formaldehyde, glutaraldehyde and bleach ",No,No,NA,No,,No,,No,22-year follow up (nurses aged between 25 to 44years),Yes, participants were asked if they had physician-diagnosed asthma,No,,Yes,Biennial and supplemental questionnaire was mailed to them,Yes,Questionnaire had information on if participant had a physician diagnosis of asthma,No,,,NA
